Response,Count
https://www.youtube.com/shorts/ILXRTA49Tgs,1
Going homeless cuz rez heating failed in the middle of winter and getting moved to a 4 star hotel.,1
apparently I was smashed at st pattys but i don't remember it being that bad at all. it was awesome.,1
blacked out & woke up at the hospital,1
Seeing my friend Evan He use a woman's bathroom,1
"Not telling,,,",1
St Patty's - sums it up,1
Seeing the calc 2 final exam,1
Getting a J*b,1
All the random 5am nights at CMH,1
St pattys,1
Crashing out during Halloween because I thought my boyfriend was gay,1
On st.patricks day we lost our friend and he did not have his phone. We found him wandering the streets around 2 hours later.,1
